tile_x,tile_y,zoom
17248,11763,15
17248,11764,15
17249,11707,15
17249,11708,15
17249,11709,15
17249,11710,15
17249,11711,15
17249,11712,15
17249,11713,15
17249,11718,15
17249,11719,15
17249,11720,15
17250,11708,15
17250,11709,15
17250,11712,15
17250,11714,15
17250,11718,15
17250,11719,15
17250,11720,15
17251,11712,15
17251,11721,15
17251,11722,15
